dataset,backbone,family,episode,false_pick_alpha,pick_score_threshold,calibration_false_pick_rate,calibration_coverage,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick,temperature,alpha,beta,proto_weight,calibration_nll
laboro_tomato,vitb16,ZS-temp,,0.05,0.4676054062577953,0.0,0.7225548902195609,0.4444444444444444,0.5555555555555556,0.00906344410876133,0.24726134585289514,0.7527386541471048,1917,9,1434,474,4,3,0.01,,,,0.7152784621166596
laboro_tomato,vitb16,ZS-temp,,0.1,0.4676054062577953,0.0,0.7225548902195609,0.4444444444444444,0.5555555555555556,0.00906344410876133,0.24726134585289514,0.7527386541471048,1917,9,1434,474,4,3,0.01,,,,0.7152784621166596
laboro_tomato,vitb16,TipAdapter,0,0.05,0.639200355219791,0.045454545454545456,0.7132401862940785,0.10112359550561797,0.898876404494382,0.32628398791540786,0.26917057902973396,0.730829420970266,1917,178,1223,516,18,108,,1.0,10.0,,0.8491039556593215
laboro_tomato,vitb16,ProtoAdapter,0,0.05,0.3887912180922538,0.04827586206896552,0.6613439787092481,0.11875,0.88125,0.2990936555891239,0.325508607198748,0.6744913928012519,1917,160,1133,624,19,99,,,,8.0,1.0147283999718204
laboro_tomato,vitb16,TipAdapter,0,0.1,0.5591238618035281,0.1,0.750499001996008,0.18220338983050846,0.8177966101694916,0.3957703927492447,0.2389149713093375,0.7610850286906625,1917,236,1223,458,43,131,,1.0,10.0,,0.8491039556593215
laboro_tomato,vitb16,ProtoAdapter,0,0.1,0.3778490967218741,0.09782608695652174,0.6872920825016633,0.1691542288557214,0.8308457711442786,0.338368580060423,0.30412102243088157,0.6958789775691184,1917,201,1133,583,34,112,,,,8.0,1.0147283999718204
laboro_tomato,vitb16,TipAdapter,1,0.05,0.5730238252918286,0.046511627906976744,0.5375914836992681,0.15328467153284672,0.8467153284671532,0.24471299093655588,0.4731351069379238,0.5268648930620762,1917,137,873,907,21,81,,1.0,10.0,,0.912339440648086
laboro_tomato,vitb16,ProtoAdapter,1,0.05,0.4184625969566276,0.047058823529411764,0.6200931470392548,0.17647058823529413,0.8235294117647058,0.1540785498489426,0.34220135628586335,0.6577986437141367,1917,85,1176,656,15,51,,,,8.0,1.0192468195505002
laboro_tomato,vitb16,TipAdapter,1,0.1,0.5264087025462525,0.09815950920245399,0.5602129075182967,0.17714285714285713,0.8228571428571428,0.2990936555891239,0.45331246739697445,0.5466875326030256,1917,175,873,869,31,99,,1.0,10.0,,0.912339440648086
laboro_tomato,vitb16,ProtoAdapter,1,0.1,0.40807015496033144,0.0967741935483871,0.64604125083167,0.18604651162790697,0.813953488372093,0.22356495468277945,0.3192488262910798,0.6807511737089202,1917,129,1176,612,24,74,,,,8.0,1.0192468195505002
laboro_tomato,vitb16,TipAdapter,2,0.05,0.5364688862108117,0.047619047619047616,0.6586826347305389,0.09090909090909091,0.9090909090909091,0.3474320241691843,0.3046426708398539,0.695357329160146,1917,187,1146,584,17,115,,1.0,10.0,,0.8875423748828016
laboro_tomato,vitb16,ProtoAdapter,2,0.05,0.36073948146156426,0.045714285714285714,0.6427145708582834,0.08415841584158416,0.9158415841584159,0.4350453172205438,0.32446531038080334,0.6755346896191967,1917,202,1093,622,17,144,,,,8.0,1.020328472235583
laboro_tomato,vitb16,TipAdapter,2,0.1,0.46429817134825857,0.09734513274336283,0.697272122421823,0.17803030303030304,0.821969696969697,0.44108761329305135,0.2644757433489828,0.7355242566510172,1917,264,1146,507,47,146,,1.0,10.0,,0.8875423748828016
laboro_tomato,vitb16,ProtoAdapter,2,0.1,0.3472612768765064,0.0995260663507109,0.6666666666666667,0.1228813559322034,0.8771186440677966,0.47129909365558914,0.30672926447574334,0.6932707355242567,1917,236,1093,588,29,156,,,,8.0,1.020328472235583
laboro_tomato,vitb16,TipAdapter,3,0.05,0.6578794319996185,0.047619047619047616,0.5276114437791084,0.06097560975609756,0.9390243902439024,0.1661631419939577,0.4371413667188315,0.5628586332811685,1917,82,997,838,5,55,,0.5,10.0,,0.9939563700467438
laboro_tomato,vitb16,ProtoAdapter,3,0.05,0.4993409165754905,0.045454545454545456,0.4171656686626747,0.125,0.875,0.054380664652567974,0.5498174230568597,0.45018257694314034,1917,32,831,1054,4,18,,,,8.0,1.045417498425408
laboro_tomato,vitb16,TipAdapter,3,0.1,0.565094718546233,0.0972972972972973,0.5948103792415169,0.22072072072072071,0.7792792792792793,0.338368580060423,0.36411058946270214,0.6358894105372979,1917,222,997,698,49,112,,0.5,10.0,,0.9939563700467438
laboro_tomato,vitb16,ProtoAdapter,3,0.1,0.4561655868245128,0.09774436090225563,0.47638057218895546,0.21875,0.78125,0.24471299093655588,0.48304642670839854,0.5169535732916015,1917,160,831,926,35,81,,,,8.0,1.045417498425408
laboro_tomato,vitb16,TipAdapter,4,0.05,0.3931010026038667,0.041666666666666664,0.58416500332668,0.06451612903225806,0.935483870967742,0.06042296072507553,0.3901930099113198,0.6098069900886802,1917,31,1138,748,2,20,,1.0,5.5,,0.884098509488446
laboro_tomato,vitb16,ProtoAdapter,4,0.05,0.3646019178883879,0.045454545454545456,0.5994677312042582,0.08333333333333333,0.9166666666666666,0.1510574018126888,0.35732916014606153,0.6426708398539385,1917,72,1160,685,6,50,,,,8.0,1.0156570481661735
laboro_tomato,vitb16,TipAdapter,4,0.1,0.39293681019859805,0.08,0.5848303393213573,0.06451612903225806,0.935483870967742,0.06042296072507553,0.3901930099113198,0.6098069900886802,1917,31,1138,748,2,20,,1.0,5.5,,0.884098509488446
laboro_tomato,vitb16,ProtoAdapter,4,0.1,0.3580476939092338,0.09259259259259259,0.6061210911510313,0.10112359550561797,0.898876404494382,0.17522658610271905,0.34846113719353156,0.6515388628064684,1917,89,1160,668,9,58,,,,8.0,1.0156570481661735
laboro_tomato,vitb16,TipAdapter,5,0.05,0.37285667727671556,0.047619047619047616,0.5741849634065204,0.06818181818181818,0.9318181818181819,0.09365558912386707,0.3995826812728221,0.600417318727178,1917,44,1107,766,3,31,,0.5,10.0,,0.9363956950241623
laboro_tomato,vitb16,ProtoAdapter,5,0.05,0.38617922565290774,0.045454545454545456,0.5236194278110446,0.07894736842105263,0.9210526315789473,0.08761329305135952,0.4449660928534168,0.5550339071465832,1917,38,1026,853,3,29,,,,8.0,1.0236756752684866
laboro_tomato,vitb16,TipAdapter,5,0.1,0.3522030271517838,0.09433962264150944,0.5815036593479708,0.09230769230769231,0.9076923076923077,0.12386706948640483,0.3886280646844027,0.6113719353155973,1917,65,1107,745,6,41,,0.5,10.0,,0.9363956950241623
laboro_tomato,vitb16,ProtoAdapter,5,0.1,0.3827824442899586,0.0967741935483871,0.5296074517631404,0.1276595744680851,0.8723404255319149,0.09969788519637462,0.44027125717266563,0.5597287428273343,1917,47,1026,844,6,33,,,,8.0,1.0236756752684866
laboro_tomato,vitb16,TipAdapter,6,0.05,0.4574584185098425,0.041666666666666664,0.8389886892880905,0.12121212121212122,0.8787878787878788,0.2175226586102719,0.14814814814814814,0.8518518518518519,1917,99,1534,284,12,72,,2.0,3.0,,0.7520448301374653
laboro_tomato,vitb16,ProtoAdapter,6,0.05,0.3655509616741509,0.043478260869565216,0.5948103792415169,0.061855670103092786,0.9381443298969072,0.22658610271903323,0.39593114241001565,0.6040688575899844,1917,97,1061,759,6,75,,,,8.0,1.040559325478508
laboro_tomato,vitb16,TipAdapter,6,0.1,0.4287208295014701,0.0970873786407767,0.8596141051230872,0.12781954887218044,0.8721804511278195,0.2719033232628399,0.13041210224308816,0.8695878977569118,1917,133,1534,250,17,90,,2.0,3.0,,0.7520448301374653
laboro_tomato,vitb16,ProtoAdapter,6,0.1,0.348312368607969,0.0979020979020979,0.644045242847638,0.1717171717171717,0.8282828282828283,0.38972809667673713,0.34324465310380803,0.656755346896192,1917,198,1061,658,34,129,,,,8.0,1.040559325478508
laboro_tomato,vitb16,TipAdapter,7,0.05,0.6298109028345791,0.04918032786885246,0.6666666666666667,0.10344827586206896,0.896551724137931,0.36555891238670696,0.32446531038080334,0.6755346896191967,1917,203,1092,622,21,121,,1.0,10.0,,0.873085485411657
laboro_tomato,vitb16,ProtoAdapter,7,0.05,0.3904711789834722,0.04790419161676647,0.6081170991350633,0.10382513661202186,0.8961748633879781,0.31722054380664655,0.38810641627543035,0.6118935837245696,1917,183,990,744,19,105,,,,8.0,1.0204903720028975
laboro_tomato,vitb16,TipAdapter,7,0.1,0.5730039534581064,0.09787234042553192,0.7012641383898869,0.16226415094339622,0.8377358490566038,0.44108761329305135,0.2921231090245175,0.7078768909754825,1917,265,1092,560,43,146,,1.0,10.0,,0.873085485411657
laboro_tomato,vitb16,ProtoAdapter,7,0.1,0.3790006530622896,0.09859154929577464,0.6387225548902196,0.1446280991735537,0.8553719008264463,0.3957703927492447,0.35732916014606153,0.6426708398539385,1917,242,990,685,35,131,,,,8.0,1.0204903720028975
laboro_tomato,vitb16,TipAdapter,8,0.05,0.5197616909631652,0.04938271604938271,0.612109115103127,0.0825242718446602,0.9174757281553398,0.4108761329305136,0.3468961919666145,0.6531038080333855,1917,206,1046,665,17,136,,1.0,10.0,,0.9473858760001828
laboro_tomato,vitb16,ProtoAdapter,8,0.05,0.3871783199442975,0.05,0.6134397870924817,0.1360544217687075,0.8639455782312925,0.2719033232628399,0.36724047991653624,0.6327595200834637,1917,147,1066,704,20,90,,,,8.0,1.0212906325388416
