dataset,backbone,family,episode,false_pick_alpha,pick_score_threshold,calibration_false_pick_rate,calibration_coverage,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick,temperature,alpha,beta,proto_weight,calibration_nll
strawberry,vitb32,ZS-temp,,0.05,0.34303370315782084,0.01037344398340249,0.9021909233176839,0.011673151750972763,0.9883268482490273,0.7790262172284644,0.08431703204047218,0.9156829679595279,593,257,286,50,3,208,0.01,,,,0.7213629214269216
strawberry,vitb32,ZS-temp,,0.1,0.34303370315782084,0.01037344398340249,0.9021909233176839,0.011673151750972763,0.9883268482490273,0.7790262172284644,0.08431703204047218,0.9156829679595279,593,257,286,50,3,208,0.01,,,,0.7213629214269216
strawberry,vitb32,TipAdapter,0,0.05,0.34304802500645465,0.0030120481927710845,0.6713615023474178,0.0,1.0,0.5880149812734082,0.3440134907251265,0.6559865092748736,593,164,225,204,0,157,,1.0,10.0,,0.8490393206276114
strawberry,vitb32,ProtoAdapter,0,0.05,0.33807083342993366,0.007228915662650603,0.7128325508607198,0.0,1.0,0.7677902621722846,0.2900505902192243,0.7099494097807757,593,216,205,172,0,205,,,,8.0,0.9962141567070546
strawberry,vitb32,TipAdapter,0,0.1,0.34304802500645465,0.0030120481927710845,0.6713615023474178,0.0,1.0,0.5880149812734082,0.3440134907251265,0.6559865092748736,593,164,225,204,0,157,,1.0,10.0,,0.8490393206276114
strawberry,vitb32,ProtoAdapter,0,0.1,0.33807083342993366,0.007228915662650603,0.7128325508607198,0.0,1.0,0.7677902621722846,0.2900505902192243,0.7099494097807757,593,216,205,172,0,205,,,,8.0,0.9962141567070546
strawberry,vitb32,TipAdapter,1,0.05,0.35028998953145,0.012522361359570662,0.8004694835680751,0.01824817518248175,0.9817518248175182,0.9026217228464419,0.209106239460371,0.790893760539629,593,274,195,124,5,241,,2.0,10.0,,0.5620191022622105
strawberry,vitb32,ProtoAdapter,1,0.05,0.3348438801796114,0.004149377593360996,0.7284820031298904,0.004098360655737705,0.9959016393442623,0.8539325842696629,0.26475548060708265,0.7352445193929174,593,244,192,157,1,228,,,,8.0,0.9843550299887289
strawberry,vitb32,TipAdapter,1,0.1,0.35028998953145,0.012522361359570662,0.8004694835680751,0.01824817518248175,0.9817518248175182,0.9026217228464419,0.209106239460371,0.790893760539629,593,274,195,124,5,241,,2.0,10.0,,0.5620191022622105
strawberry,vitb32,ProtoAdapter,1,0.1,0.3348438801796114,0.004149377593360996,0.7284820031298904,0.004098360655737705,0.9959016393442623,0.8539325842696629,0.26475548060708265,0.7352445193929174,593,244,192,157,1,228,,,,8.0,0.9843550299887289
