dataset,backbone,episode,baseline,selector,proto_weight,calibration_nll,target_coverage,selector_threshold,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick
laboro_tomato,vitb16,0,ProtoAdapter-hard,none,8.0,1.0147283999718204,1.0,,0.30376344086021506,0.696236559139785,0.525679758308157,0.2149191444966093,0.7850808555033907,1917,372,1133,412,113,174
laboro_tomato,vitb16,0,ProtoAdapter-selective,msp,8.0,1.0147283999718204,0.4,0.3963347826547688,0.096,0.904,0.25075528700906347,0.6004173187271779,0.39958268127282215,1917,125,641,1151,12,83
laboro_tomato,vitb16,0,ProtoAdapter-selective,msp,8.0,1.0147283999718204,0.5,0.38340259054685,0.1388888888888889,0.8611111111111112,0.3202416918429003,0.5070422535211268,0.49295774647887325,1917,180,765,972,25,106
laboro_tomato,vitb16,0,ProtoAdapter-selective,msp,8.0,1.0147283999718204,0.6,0.37391968615874144,0.19911504424778761,0.8008849557522124,0.36555891238670696,0.4282733437663015,0.5717266562336984,1917,226,870,821,45,121
laboro_tomato,vitb16,0,ProtoAdapter-selective,msp,8.0,1.0147283999718204,0.7,0.36532397462989197,0.23722627737226276,0.7627737226277372,0.4259818731117825,0.3646322378716745,0.6353677621283256,1917,274,944,699,65,141
laboro_tomato,vitb16,0,ProtoAdapter-selective,msp,8.0,1.0147283999718204,0.8,0.3579747377528153,0.26,0.74,0.45317220543806647,0.31194574856546686,0.6880542514345331,1917,300,1019,598,78,150
laboro_tomato,vitb16,0,ProtoAdapter-selective,msp,8.0,1.0147283999718204,0.9,0.3502477785967987,0.2818181818181818,0.7181818181818183,0.48338368580060426,0.2655190401669275,0.7344809598330725,1917,330,1078,509,93,160
laboro_tomato,vitb16,0,ProtoAdapter-selective,margin,8.0,1.0147283999718204,0.4,0.0653684824710179,0.07792207792207792,0.922077922077922,0.1903323262839879,0.6025039123630673,0.39749608763693267,1917,77,685,1155,6,63
laboro_tomato,vitb16,0,ProtoAdapter-selective,margin,8.0,1.0147283999718204,0.5,0.04909738394477309,0.125,0.875,0.26586102719033233,0.5138236828377674,0.48617631716223264,1917,128,804,985,16,88
laboro_tomato,vitb16,0,ProtoAdapter-selective,margin,8.0,1.0147283999718204,0.6,0.037483496648373305,0.15428571428571428,0.8457142857142858,0.32326283987915405,0.4397496087636933,0.5602503912363067,1917,175,899,843,27,107
laboro_tomato,vitb16,0,ProtoAdapter-selective,margin,8.0,1.0147283999718204,0.7,0.027542961556621448,0.19196428571428573,0.8080357142857143,0.3867069486404834,0.3761085028690663,0.6238914971309337,1917,224,972,721,43,128
laboro_tomato,vitb16,0,ProtoAdapter-selective,margin,8.0,1.0147283999718204,0.8,0.016017490354095276,0.22813688212927757,0.7718631178707225,0.41389728096676737,0.323943661971831,0.676056338028169,1917,263,1033,621,60,137
laboro_tomato,vitb16,0,ProtoAdapter-selective,margin,8.0,1.0147283999718204,0.9,0.00791885569591766,0.2807570977917981,0.7192429022082019,0.47129909365558914,0.2696922274387063,0.7303077725612936,1917,317,1083,517,89,156
laboro_tomato,vitb16,0,ProtoAdapter-selective,entropy,8.0,1.0147283999718204,0.4,1.0864322388328083,0.1588235294117647,0.8411764705882353,0.28700906344410876,0.6082420448617631,0.39175795513823686,1917,170,581,1166,27,95
laboro_tomato,vitb16,0,ProtoAdapter-selective,entropy,8.0,1.0147283999718204,0.5,1.0896777582270882,0.18309859154929578,0.8169014084507042,0.3413897280966767,0.5179968701095462,0.4820031298904538,1917,213,711,993,39,113
laboro_tomato,vitb16,0,ProtoAdapter-selective,entropy,8.0,1.0147283999718204,0.6,1.0928570709272494,0.2248995983935743,0.7751004016064257,0.38368580060422963,0.4360980699008868,0.5639019300991133,1917,249,832,836,56,127
laboro_tomato,vitb16,0,ProtoAdapter-selective,entropy,8.0,1.0147283999718204,0.7,1.0949339332460934,0.2534722222222222,0.7465277777777778,0.43202416918429004,0.3615023474178404,0.6384976525821596,1917,288,936,693,73,143
laboro_tomato,vitb16,0,ProtoAdapter-selective,entropy,8.0,1.0147283999718204,0.8,1.0963971499322303,0.2694805194805195,0.7305194805194806,0.459214501510574,0.3077725612936881,0.6922274387063119,1917,308,1019,590,83,152
laboro_tomato,vitb16,0,ProtoAdapter-selective,entropy,8.0,1.0147283999718204,0.9,1.097509023247321,0.2878787878787879,0.7121212121212122,0.48338368580060426,0.26395409494001043,0.7360459050599896,1917,330,1081,506,95,160
laboro_tomato,vitb16,1,ProtoAdapter-hard,none,8.0,1.0192468195505002,1.0,,0.42653061224489797,0.573469387755102,0.5166163141993958,0.1309337506520605,0.8690662493479395,1917,490,1176,251,209,171
laboro_tomato,vitb16,1,ProtoAdapter-selective,msp,8.0,1.0192468195505002,0.4,0.3884914636369685,0.2565217391304348,0.7434782608695651,0.3413897280966767,0.6431924882629108,0.35680751173708924,1917,230,454,1233,59,113
laboro_tomato,vitb16,1,ProtoAdapter-selective,msp,8.0,1.0192468195505002,0.5,0.3841092672555406,0.26848249027237353,0.7315175097276265,0.3716012084592145,0.5539906103286385,0.4460093896713615,1917,257,598,1062,69,123
laboro_tomato,vitb16,1,ProtoAdapter-selective,msp,8.0,1.0192468195505002,0.6,0.37864756623583357,0.3103448275862069,0.6896551724137931,0.38972809667673713,0.4684402712571727,0.5315597287428273,1917,290,729,898,90,129
laboro_tomato,vitb16,1,ProtoAdapter-selective,msp,8.0,1.0192468195505002,0.7,0.3719170715880348,0.3323170731707317,0.6676829268292683,0.4229607250755287,0.3865414710485133,0.6134585289514867,1917,328,848,741,109,140
laboro_tomato,vitb16,1,ProtoAdapter-selective,msp,8.0,1.0192468195505002,0.8,0.3639125469469325,0.363395225464191,0.636604774535809,0.4471299093655589,0.30412102243088157,0.6958789775691184,1917,377,957,583,137,148
laboro_tomato,vitb16,1,ProtoAdapter-selective,msp,8.0,1.0192468195505002,0.9,0.3544134441806691,0.3826291079812207,0.6173708920187793,0.486404833836858,0.21752738654147105,0.7824726134585289,1917,426,1074,417,163,161
laboro_tomato,vitb16,1,ProtoAdapter-selective,margin,8.0,1.0192468195505002,0.4,0.04811342371703636,0.3389830508474576,0.6610169491525424,0.3867069486404834,0.6369327073552425,0.36306729264475746,1917,295,401,1221,100,128
laboro_tomato,vitb16,1,ProtoAdapter-selective,margin,8.0,1.0192468195505002,0.5,0.03773119477625053,0.3484848484848485,0.6515151515151515,0.4229607250755287,0.5466875326030256,0.4533124673969744,1917,330,539,1048,115,140
laboro_tomato,vitb16,1,ProtoAdapter-selective,margin,8.0,1.0192468195505002,0.6,0.030321064270815712,0.3700564971751412,0.6299435028248588,0.42900302114803623,0.45800730307772564,0.5419926969222744,1917,354,685,878,131,142
laboro_tomato,vitb16,1,ProtoAdapter-selective,margin,8.0,1.0192468195505002,0.7,0.022893715298765382,0.38320209973753283,0.6167979002624672,0.44410876132930516,0.3745435576421492,0.6254564423578508,1917,381,818,718,146,147
