dataset,backbone,episode,baseline,selector,alpha,beta,calibration_nll,target_coverage,selector_threshold,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick
laboro_tomato,vitb16,0,TipAdapter-hard,none,1.0,10.0,0.8491039556593215,1.0,,0.36960985626283366,0.6303901437371664,0.5830815709969789,0.107981220657277,0.892018779342723,1917,487,1223,207,180,193
laboro_tomato,vitb16,0,TipAdapter-selective,msp,1.0,10.0,0.8491039556593215,0.4,0.6222383212927922,0.10582010582010581,0.8941798941798942,0.3504531722054381,0.5998956703182056,0.40010432968179444,1917,189,578,1150,20,116
laboro_tomato,vitb16,0,TipAdapter-selective,msp,1.0,10.0,0.8491039556593215,0.5,0.5699894865712121,0.16964285714285715,0.8303571428571428,0.3806646525679758,0.5002608242044861,0.49973917579551386,1917,224,734,959,38,126
laboro_tomato,vitb16,0,TipAdapter-selective,msp,1.0,10.0,0.8491039556593215,0.6,0.5179880896592228,0.21033210332103322,0.7896678966789668,0.4350453172205438,0.40271257172665625,0.5972874282733438,1917,271,874,772,57,144
laboro_tomato,vitb16,0,TipAdapter-selective,msp,1.0,10.0,0.8491039556593215,0.7,0.47084777382601,0.24923076923076923,0.7507692307692307,0.49244712990936557,0.31194574856546686,0.6880542514345331,1917,325,994,598,81,163
laboro_tomato,vitb16,0,TipAdapter-selective,msp,1.0,10.0,0.8491039556593215,0.8,0.4278677887175595,0.29198966408268734,0.7080103359173127,0.5347432024169184,0.23369848721961398,0.766301512780386,1917,387,1082,448,113,177
laboro_tomato,vitb16,0,TipAdapter-selective,msp,1.0,10.0,0.8491039556593215,0.9,0.38781802187584874,0.33182844243792325,0.6681715575620768,0.56797583081571,0.16797078768909754,0.8320292123109024,1917,443,1152,322,147,188
laboro_tomato,vitb16,0,TipAdapter-selective,margin,1.0,10.0,0.8491039556593215,0.4,0.401721980715868,0.10795454545454546,0.8920454545454546,0.3293051359516616,0.5998956703182056,0.40010432968179444,1917,176,591,1150,19,109
laboro_tomato,vitb16,0,TipAdapter-selective,margin,1.0,10.0,0.8491039556593215,0.5,0.3157704253442434,0.15207373271889402,0.847926267281106,0.3806646525679758,0.4997391757955138,0.5002608242044861,1917,217,742,958,33,126
laboro_tomato,vitb16,0,TipAdapter-selective,margin,1.0,10.0,0.8491039556593215,0.6,0.22297238768295696,0.20930232558139536,0.7906976744186046,0.41389728096676737,0.4032342201356286,0.5967657798643714,1917,258,886,773,54,137
laboro_tomato,vitb16,0,TipAdapter-selective,margin,1.0,10.0,0.8491039556593215,0.7,0.15546068111073946,0.250814332247557,0.749185667752443,0.459214501510574,0.3114241001564945,0.6885758998435054,1917,307,1013,597,77,152
laboro_tomato,vitb16,0,TipAdapter-selective,margin,1.0,10.0,0.8491039556593215,0.8,0.08422372036947723,0.28337874659400547,0.7166212534059946,0.525679758308157,0.23213354199269692,0.7678664580073031,1917,367,1105,445,104,174
laboro_tomato,vitb16,0,TipAdapter-selective,margin,1.0,10.0,0.8491039556593215,0.9,0.03764681308200368,0.33410672853828305,0.665893271461717,0.5558912386706949,0.16953573291601462,0.8304642670839854,1917,431,1161,325,144,184
laboro_tomato,vitb16,0,TipAdapter-selective,entropy,1.0,10.0,0.8491039556593215,0.4,0.9139405836023635,0.11822660098522167,0.8817733990147784,0.36555891238670696,0.5998956703182056,0.40010432968179444,1917,203,564,1150,24,121
laboro_tomato,vitb16,0,TipAdapter-selective,entropy,1.0,10.0,0.8491039556593215,0.5,0.966682173614418,0.17886178861788618,0.8211382113821138,0.4229607250755287,0.5002608242044861,0.49973917579551386,1917,246,712,959,44,140
laboro_tomato,vitb16,0,TipAdapter-selective,entropy,1.0,10.0,0.8491039556593215,0.6,1.0063932618943172,0.23432343234323433,0.7656765676567656,0.46827794561933533,0.40375586854460094,0.596244131455399,1917,303,840,774,71,155
laboro_tomato,vitb16,0,TipAdapter-selective,entropy,1.0,10.0,0.8491039556593215,0.7,1.0410942779568868,0.25787965616045844,0.7421203438395416,0.5075528700906344,0.31664058424621805,0.6833594157537819,1917,349,961,607,90,168
laboro_tomato,vitb16,0,TipAdapter-selective,entropy,1.0,10.0,0.8491039556593215,0.8,1.0671119657388894,0.2951653944020356,0.7048346055979644,0.5438066465256798,0.23526343244653103,0.764736567553469,1917,393,1073,451,116,180
laboro_tomato,vitb16,0,TipAdapter-selective,entropy,1.0,10.0,0.8491039556593215,0.9,1.0866669382943515,0.3325842696629214,0.6674157303370787,0.56797583081571,0.16536254564423578,0.8346374543557642,1917,445,1155,317,148,188
laboro_tomato,vitb16,1,TipAdapter-hard,none,1.0,10.0,0.912339440648086,1.0,,0.35735735735735735,0.6426426426426426,0.4169184290030212,0.37089201877934275,0.6291079812206573,1917,333,873,711,119,138
laboro_tomato,vitb16,1,TipAdapter-selective,msp,1.0,10.0,0.912339440648086,0.4,0.5254491126405452,0.17714285714285713,0.8228571428571428,0.2990936555891239,0.7532603025560772,0.24673969744392277,1917,175,298,1444,31,99
laboro_tomato,vitb16,1,TipAdapter-selective,msp,1.0,10.0,0.912339440648086,0.5,0.5042443856159946,0.208955223880597,0.791044776119403,0.3323262839879154,0.6901408450704225,0.3098591549295775,1917,201,393,1323,42,110
laboro_tomato,vitb16,1,TipAdapter-selective,msp,1.0,10.0,0.912339440648086,0.6,0.4835418302100113,0.21973094170403587,0.7802690582959642,0.35347432024169184,0.6280646844027126,0.37193531559728743,1917,223,490,1204,49,117
laboro_tomato,vitb16,1,TipAdapter-selective,msp,1.0,10.0,0.912339440648086,0.7,0.4643095485693839,0.256198347107438,0.743801652892562,0.36555891238670696,0.5628586332811685,0.4371413667188315,1917,242,596,1079,62,121
laboro_tomato,vitb16,1,TipAdapter-selective,msp,1.0,10.0,0.912339440648086,0.8,0.44400921961288276,0.2824427480916031,0.7175572519083969,0.3776435045317221,0.49921752738654146,0.5007824726134585,1917,262,698,957,74,125
laboro_tomato,vitb16,1,TipAdapter-selective,msp,1.0,10.0,0.912339440648086,0.9,0.416105902058548,0.31338028169014087,0.6866197183098591,0.3867069486404834,0.44340114762649974,0.5565988523735003,1917,284,783,850,89,128
