dataset,backbone,episode,baseline,selector,alpha,beta,calibration_nll,target_coverage,selector_threshold,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick
strawberry,vitb32,0,TipAdapter-hard,none,1.0,10.0,0.8490393206276114,1.0,,0.0,1.0,0.5917602996254682,0.342327150084317,0.657672849915683,593,165,225,203,0,158
strawberry,vitb32,0,TipAdapter-selective,msp,1.0,10.0,0.8490393206276114,0.4,0.5756782514785066,0.0,1.0,0.13108614232209737,0.7335581787521079,0.26644182124789206,593,36,122,435,0,35
strawberry,vitb32,0,TipAdapter-selective,msp,1.0,10.0,0.8490393206276114,0.5,0.5531150404097789,0.0,1.0,0.20973782771535582,0.6661045531197302,0.33389544688026984,593,57,141,395,0,56
strawberry,vitb32,0,TipAdapter-selective,msp,1.0,10.0,0.8490393206276114,0.6,0.522293534697394,0.0,1.0,0.30337078651685395,0.6070826306913997,0.39291736930860033,593,83,150,360,0,81
strawberry,vitb32,0,TipAdapter-selective,msp,1.0,10.0,0.8490393206276114,0.7,0.48959396332574623,0.0,1.0,0.3782771535580524,0.5345699831365935,0.46543001686340646,593,104,172,317,0,101
strawberry,vitb32,0,TipAdapter-selective,msp,1.0,10.0,0.8490393206276114,0.8,0.45590595194518274,0.0,1.0,0.4232209737827715,0.4822934232715008,0.5177065767284992,593,118,189,286,0,113
strawberry,vitb32,0,TipAdapter-selective,msp,1.0,10.0,0.8490393206276114,0.9,0.41730539058020377,0.0,1.0,0.50187265917603,0.4114671163575042,0.5885328836424958,593,139,210,244,0,134
strawberry,vitb32,0,TipAdapter-selective,margin,1.0,10.0,0.8490393206276114,0.4,0.3002670277329014,0.0,1.0,0.10112359550561797,0.7403035413153457,0.2596964586846543,593,28,126,439,0,27
strawberry,vitb32,0,TipAdapter-selective,margin,1.0,10.0,0.8490393206276114,0.5,0.24447898347393393,0.0,1.0,0.16104868913857678,0.6711635750421585,0.3288364249578415,593,44,151,398,0,43
strawberry,vitb32,0,TipAdapter-selective,margin,1.0,10.0,0.8490393206276114,0.6,0.18446816667245397,0.0,1.0,0.2397003745318352,0.6053962900505903,0.39460370994940974,593,65,169,359,0,64
strawberry,vitb32,0,TipAdapter-selective,margin,1.0,10.0,0.8490393206276114,0.7,0.14286514792919008,0.0,1.0,0.3445692883895131,0.5328836424957841,0.4671163575042159,593,93,184,316,0,92
strawberry,vitb32,0,TipAdapter-selective,margin,1.0,10.0,0.8490393206276114,0.8,0.09535252051564502,0.0,1.0,0.43820224719101125,0.4620573355817875,0.5379426644182125,593,119,200,274,0,117
strawberry,vitb32,0,TipAdapter-selective,margin,1.0,10.0,0.8490393206276114,0.9,0.04983433319946923,0.0,1.0,0.5131086142322098,0.3979763912310287,0.6020236087689713,593,142,215,236,0,137
strawberry,vitb32,0,TipAdapter-selective,entropy,1.0,10.0,0.8490393206276114,0.4,0.9200708756631989,0.0,1.0,0.20973782771535582,0.718381112984823,0.281618887015177,593,60,107,426,0,56
strawberry,vitb32,0,TipAdapter-selective,entropy,1.0,10.0,0.8490393206276114,0.5,0.9524139253540969,0.0,1.0,0.2696629213483146,0.6762225969645869,0.32377740303541314,593,77,115,401,0,72
strawberry,vitb32,0,TipAdapter-selective,entropy,1.0,10.0,0.8490393206276114,0.6,0.9795955436177808,0.0,1.0,0.32209737827715357,0.6155143338954469,0.38448566610455315,593,91,137,365,0,86
strawberry,vitb32,0,TipAdapter-selective,entropy,1.0,10.0,0.8490393206276114,0.7,1.0103370113471448,0.0,1.0,0.3857677902621723,0.554806070826307,0.44519392917369305,593,108,156,329,0,103
strawberry,vitb32,0,TipAdapter-selective,entropy,1.0,10.0,0.8490393206276114,0.8,1.0451531273444732,0.0,1.0,0.4232209737827715,0.49072512647554806,0.5092748735244519,593,118,184,291,0,113
strawberry,vitb32,0,TipAdapter-selective,entropy,1.0,10.0,0.8490393206276114,0.9,1.0743754090621513,0.0,1.0,0.5056179775280899,0.4114671163575042,0.5885328836424958,593,140,209,244,0,135
strawberry,vitb32,1,TipAdapter-hard,none,2.0,10.0,0.5620191022622105,1.0,,0.01824817518248175,0.9817518248175182,0.9026217228464419,0.209106239460371,0.790893760539629,593,274,195,124,5,241
strawberry,vitb32,1,TipAdapter-selective,msp,2.0,10.0,0.5620191022622105,0.4,0.8180058521014644,0.0,1.0,0.5131086142322098,0.6104553119730185,0.3895446880269815,593,139,92,362,0,137
strawberry,vitb32,1,TipAdapter-selective,msp,2.0,10.0,0.5620191022622105,0.5,0.7784804584651294,0.0,1.0,0.5805243445692884,0.5362563237774031,0.46374367622259693,593,158,117,318,0,155
strawberry,vitb32,1,TipAdapter-selective,msp,2.0,10.0,0.5620191022622105,0.6,0.7301643025059353,0.0,1.0,0.6966292134831461,0.4688026981450253,0.5311973018549747,593,190,125,278,0,186
strawberry,vitb32,1,TipAdapter-selective,msp,2.0,10.0,0.5620191022622105,0.7,0.6628134943771817,0.0,1.0,0.7790262172284644,0.39291736930860033,0.6070826306913997,593,215,145,233,0,208
strawberry,vitb32,1,TipAdapter-selective,msp,2.0,10.0,0.5620191022622105,0.8,0.6016566453756081,0.004201680672268907,0.9957983193277311,0.8426966292134831,0.32040472175379425,0.6795952782462058,593,238,165,190,1,225
strawberry,vitb32,1,TipAdapter-selective,msp,2.0,10.0,0.5620191022622105,0.9,0.5085191114819374,0.01171875,0.98828125,0.8689138576779026,0.2748735244519393,0.7251264755480606,593,256,174,163,3,232
