dataset,backbone,family,episode,false_pick_alpha,pick_score_threshold,calibration_unsafe_pick_rate,calibration_strict_pick_precision,calibration_n_pick,calibration_n_unsafe_pick,query_unsafe_pick_rate,query_strict_pick_precision,query_n_pick,query_n_unsafe_pick,temperature,alpha,beta,proto_weight,calibration_nll
laboro_tomato,vitb16,ZS-temp,,0.05,0.4676054062577953,0.3333333333333333,0.6666666666666666,3,1,0.6666666666666666,0.3333333333333333,9,6,0.01,,,,0.7152784621166596
laboro_tomato,vitb16,ZS-temp,,0.1,0.4676054062577953,0.3333333333333333,0.6666666666666666,3,1,0.6666666666666666,0.3333333333333333,9,6,0.01,,,,0.7152784621166596
laboro_tomato,vitb16,TipAdapter,0,0.05,0.639200355219791,0.3246753246753247,0.6753246753246753,154,50,0.39325842696629215,0.6067415730337079,178,70,,1.0,10.0,,0.8491039556593215
laboro_tomato,vitb16,ProtoAdapter,0,0.05,0.3887912180922538,0.3448275862068966,0.6551724137931034,145,50,0.38125,0.61875,160,61,,,,8.0,1.0147283999718204
laboro_tomato,vitb16,TipAdapter,0,0.1,0.5591238618035281,0.41904761904761906,0.580952380952381,210,88,0.4449152542372881,0.5550847457627118,236,105,,1.0,10.0,,0.8491039556593215
laboro_tomato,vitb16,ProtoAdapter,0,0.1,0.3778490967218741,0.391304347826087,0.6086956521739131,184,72,0.4427860696517413,0.5572139303482587,201,89,,,,8.0,1.0147283999718204
laboro_tomato,vitb16,TipAdapter,1,0.05,0.5730238252918286,0.3178294573643411,0.6821705426356589,129,41,0.40875912408759124,0.5912408759124088,137,56,,1.0,10.0,,0.912339440648086
laboro_tomato,vitb16,ProtoAdapter,1,0.05,0.4184625969566276,0.32941176470588235,0.6705882352941176,85,28,0.4,0.6,85,34,,,,8.0,1.0192468195505002
laboro_tomato,vitb16,TipAdapter,1,0.1,0.5264087025462525,0.3803680981595092,0.6196319018404908,163,62,0.4342857142857143,0.5657142857142857,175,76,,1.0,10.0,,0.912339440648086
laboro_tomato,vitb16,ProtoAdapter,1,0.1,0.40807015496033144,0.3870967741935484,0.6129032258064516,124,48,0.4263565891472868,0.5736434108527132,129,55,,,,8.0,1.0192468195505002
laboro_tomato,vitb16,TipAdapter,2,0.05,0.5364688862108117,0.36904761904761907,0.6309523809523809,168,62,0.3850267379679144,0.6149732620320856,187,72,,1.0,10.0,,0.8875423748828016
laboro_tomato,vitb16,ProtoAdapter,2,0.05,0.36073948146156426,0.26857142857142857,0.7314285714285714,175,47,0.2871287128712871,0.7128712871287128,202,58,,,,8.0,1.020328472235583
laboro_tomato,vitb16,TipAdapter,2,0.1,0.46429817134825857,0.42920353982300885,0.5707964601769911,226,97,0.44696969696969696,0.553030303030303,264,118,,1.0,10.0,,0.8875423748828016
laboro_tomato,vitb16,ProtoAdapter,2,0.1,0.3472612768765064,0.3127962085308057,0.6872037914691943,211,66,0.3389830508474576,0.6610169491525424,236,80,,,,8.0,1.020328472235583
laboro_tomato,vitb16,TipAdapter,3,0.05,0.6578794319996185,0.23809523809523808,0.7619047619047619,84,20,0.32926829268292684,0.6707317073170732,82,27,,0.5,10.0,,0.9939563700467438
laboro_tomato,vitb16,ProtoAdapter,3,0.05,0.4993409165754905,0.4318181818181818,0.5681818181818182,44,19,0.4375,0.5625,32,14,,,,8.0,1.045417498425408
laboro_tomato,vitb16,TipAdapter,3,0.1,0.565094718546233,0.4,0.6,185,74,0.4954954954954955,0.5045045045045045,222,110,,0.5,10.0,,0.9939563700467438
laboro_tomato,vitb16,ProtoAdapter,3,0.1,0.4561655868245128,0.40601503759398494,0.5939849624060151,133,54,0.49375,0.50625,160,79,,,,8.0,1.045417498425408
laboro_tomato,vitb16,TipAdapter,4,0.05,0.3931010026038667,0.5,0.5,24,12,0.3548387096774194,0.6451612903225806,31,11,,1.0,5.5,,0.884098509488446
laboro_tomato,vitb16,ProtoAdapter,4,0.05,0.3646019178883879,0.4772727272727273,0.5227272727272727,44,21,0.3055555555555556,0.6944444444444444,72,22,,,,8.0,1.0156570481661735
laboro_tomato,vitb16,TipAdapter,4,0.1,0.39293681019859805,0.52,0.48,25,13,0.3548387096774194,0.6451612903225806,31,11,,1.0,5.5,,0.884098509488446
laboro_tomato,vitb16,ProtoAdapter,4,0.1,0.3580476939092338,0.46296296296296297,0.5370370370370371,54,25,0.34831460674157305,0.651685393258427,89,31,,,,8.0,1.0156570481661735
laboro_tomato,vitb16,TipAdapter,5,0.05,0.37285667727671556,0.38095238095238093,0.6190476190476191,42,16,0.29545454545454547,0.7045454545454546,44,13,,0.5,10.0,,0.9363956950241623
laboro_tomato,vitb16,ProtoAdapter,5,0.05,0.38617922565290774,0.2727272727272727,0.7272727272727273,22,6,0.23684210526315788,0.7631578947368421,38,9,,,,8.0,1.0236756752684866
laboro_tomato,vitb16,TipAdapter,5,0.1,0.3522030271517838,0.41509433962264153,0.5849056603773585,53,22,0.36923076923076925,0.6307692307692307,65,24,,0.5,10.0,,0.9363956950241623
laboro_tomato,vitb16,ProtoAdapter,5,0.1,0.3827824442899586,0.2903225806451613,0.7096774193548387,31,9,0.2978723404255319,0.7021276595744681,47,14,,,,8.0,1.0236756752684866
laboro_tomato,vitb16,TipAdapter,6,0.05,0.4574584185098425,0.2361111111111111,0.7638888888888888,72,17,0.2727272727272727,0.7272727272727273,99,27,,2.0,3.0,,0.7520448301374653
laboro_tomato,vitb16,ProtoAdapter,6,0.05,0.3655509616741509,0.15942028985507245,0.8405797101449275,69,11,0.2268041237113402,0.7731958762886598,97,22,,,,8.0,1.040559325478508
laboro_tomato,vitb16,TipAdapter,6,0.1,0.4287208295014701,0.3106796116504854,0.6893203883495146,103,32,0.3233082706766917,0.6766917293233082,133,43,,2.0,3.0,,0.7520448301374653
laboro_tomato,vitb16,ProtoAdapter,6,0.1,0.348312368607969,0.32167832167832167,0.6783216783216783,143,46,0.3484848484848485,0.6515151515151515,198,69,,,,8.0,1.040559325478508
laboro_tomato,vitb16,TipAdapter,7,0.05,0.6298109028345791,0.3879781420765027,0.6120218579234973,183,71,0.4039408866995074,0.5960591133004927,203,82,,1.0,10.0,,0.873085485411657
laboro_tomato,vitb16,ProtoAdapter,7,0.05,0.3904711789834722,0.39520958083832336,0.6047904191616766,167,66,0.4262295081967213,0.5737704918032787,183,78,,,,8.0,1.0204903720028975
laboro_tomato,vitb16,TipAdapter,7,0.1,0.5730039534581064,0.4425531914893617,0.5574468085106383,235,104,0.4490566037735849,0.5509433962264151,265,119,,1.0,10.0,,0.873085485411657
laboro_tomato,vitb16,ProtoAdapter,7,0.1,0.3790006530622896,0.43661971830985913,0.5633802816901409,213,93,0.45867768595041325,0.5413223140495868,242,111,,,,8.0,1.0204903720028975
laboro_tomato,vitb16,TipAdapter,8,0.05,0.5197616909631652,0.29012345679012347,0.7098765432098766,162,47,0.33980582524271846,0.6601941747572816,206,70,,1.0,10.0,,0.9473858760001828
laboro_tomato,vitb16,ProtoAdapter,8,0.05,0.3871783199442975,0.30714285714285716,0.6928571428571428,140,43,0.3877551020408163,0.6122448979591837,147,57,,,,8.0,1.0212906325388416
laboro_tomato,vitb16,TipAdapter,8,0.1,0.4879040693524161,0.3364485981308411,0.6635514018691588,214,72,0.4259927797833935,0.5740072202166066,277,118,,1.0,10.0,,0.9473858760001828
laboro_tomato,vitb16,ProtoAdapter,8,0.1,0.37751383202487404,0.36904761904761907,0.6309523809523809,168,62,0.47029702970297027,0.5297029702970297,202,95,,,,8.0,1.0212906325388416
laboro_tomato,vitb16,TipAdapter,9,0.05,0.8363226309051263,0.32558139534883723,0.6744186046511628,129,42,0.38848920863309355,0.6115107913669064,139,54,,2.0,10.0,,0.8463658869003317
laboro_tomato,vitb16,ProtoAdapter,9,0.05,0.4324605423220167,0.3409090909090909,0.6590909090909091,88,30,0.42528735632183906,0.5747126436781609,87,37,,,,8.0,1.0316615645584162
laboro_tomato,vitb16,TipAdapter,9,0.1,0.7349856299286534,0.4111111111111111,0.5888888888888889,180,74,0.4669811320754717,0.5330188679245284,212,99,,2.0,10.0,,0.8463658869003317
