dataset,backbone,family,episode,false_pick_alpha,pick_score_threshold,calibration_unsafe_pick_rate,calibration_strict_pick_precision,calibration_n_pick,calibration_n_unsafe_pick,query_unsafe_pick_rate,query_strict_pick_precision,query_n_pick,query_n_unsafe_pick,temperature,alpha,beta,proto_weight,calibration_nll
strawberry,vitb32,ZS-temp,,0.05,0.34303370315782084,0.17012448132780084,0.8298755186721992,482,82,0.19066147859922178,0.8093385214007782,257,49,0.01,,,,0.7213629214269216
strawberry,vitb32,ZS-temp,,0.1,0.34303370315782084,0.17012448132780084,0.8298755186721992,482,82,0.19066147859922178,0.8093385214007782,257,49,0.01,,,,0.7213629214269216
strawberry,vitb32,TipAdapter,0,0.05,0.34304802500645465,0.024096385542168676,0.9759036144578314,332,8,0.042682926829268296,0.9573170731707317,164,7,,1.0,10.0,,0.8490393206276114
strawberry,vitb32,ProtoAdapter,0,0.05,0.33807083342993366,0.05542168674698795,0.944578313253012,415,23,0.05092592592592592,0.9490740740740741,216,11,,,,8.0,0.9962141567070546
strawberry,vitb32,TipAdapter,0,0.1,0.34304802500645465,0.024096385542168676,0.9759036144578314,332,8,0.042682926829268296,0.9573170731707317,164,7,,1.0,10.0,,0.8490393206276114
strawberry,vitb32,ProtoAdapter,0,0.1,0.33807083342993366,0.05542168674698795,0.944578313253012,415,23,0.05092592592592592,0.9490740740740741,216,11,,,,8.0,0.9962141567070546
strawberry,vitb32,TipAdapter,1,0.05,0.35028998953145,0.10912343470483005,0.8908765652951699,559,61,0.12043795620437957,0.8795620437956204,274,33,,2.0,10.0,,0.5620191022622105
strawberry,vitb32,ProtoAdapter,1,0.05,0.3348438801796114,0.058091286307053944,0.941908713692946,482,28,0.06557377049180328,0.9344262295081968,244,16,,,,8.0,0.9843550299887289
strawberry,vitb32,TipAdapter,1,0.1,0.35028998953145,0.10912343470483005,0.8908765652951699,559,61,0.12043795620437957,0.8795620437956204,274,33,,2.0,10.0,,0.5620191022622105
strawberry,vitb32,ProtoAdapter,1,0.1,0.3348438801796114,0.058091286307053944,0.941908713692946,482,28,0.06557377049180328,0.9344262295081968,244,16,,,,8.0,0.9843550299887289
strawberry,vitb32,TipAdapter,2,0.05,0.4243526775076574,0.24069478908188585,0.7593052109181141,403,97,0.16751269035532995,0.8324873096446701,197,33,,2.0,10.0,,0.843231485011363
strawberry,vitb32,ProtoAdapter,2,0.05,0.33644923158777873,0.18213058419243985,0.8178694158075601,291,53,0.13636363636363635,0.8636363636363636,154,21,,,,8.0,1.0230289474462204
strawberry,vitb32,TipAdapter,2,0.1,0.35785138841627306,0.24880382775119617,0.7511961722488039,418,104,0.178743961352657,0.821256038647343,207,37,,2.0,10.0,,0.843231485011363
strawberry,vitb32,ProtoAdapter,2,0.1,0.33644923158777873,0.18213058419243985,0.8178694158075601,291,53,0.13636363636363635,0.8636363636363636,154,21,,,,8.0,1.0230289474462204
strawberry,vitb32,TipAdapter,3,0.05,0.34589394153071834,0.07415730337078652,0.9258426966292135,445,33,0.06666666666666667,0.9333333333333333,210,14,,2.0,10.0,,0.6488047099242521
strawberry,vitb32,ProtoAdapter,3,0.05,0.33516646998084,0.09322033898305085,0.9067796610169492,472,44,0.08108108108108109,0.918918918918919,222,18,,,,8.0,0.9993314785482598
strawberry,vitb32,TipAdapter,3,0.1,0.34589394153071834,0.07415730337078652,0.9258426966292135,445,33,0.06666666666666667,0.9333333333333333,210,14,,2.0,10.0,,0.6488047099242521
strawberry,vitb32,ProtoAdapter,3,0.1,0.33516646998084,0.09322033898305085,0.9067796610169492,472,44,0.08108108108108109,0.918918918918919,222,18,,,,8.0,0.9993314785482598
