dataset,backbone,baseline,selector,temperature,calibration_nll,target_coverage,selector_threshold,false_pick_rate,pick_precision,pick_recall,revisit_burden,coverage,n_samples,n_pick,n_wait,n_revisit,n_false_pick,n_true_pick
strawberry,vitb32,ZS-hard,none,1.0,,1.0,,0.011673151750972763,0.9883268482490273,0.7790262172284644,0.08431703204047218,0.9156829679595279,593,257,286,50,3,208
strawberry,vitb32,ZS-temp-selective,msp,0.01,0.7213629214269216,0.4,0.7284145497011005,0.0,1.0,0.20224719101123595,0.596964586846543,0.40303541315345703,593,57,182,354,0,54
strawberry,vitb32,ZS-temp-selective,msp,0.01,0.7213629214269216,0.5,0.6631119269206526,0.0,1.0,0.3295880149812734,0.4991568296795953,0.5008431703204047,593,97,200,296,0,88
strawberry,vitb32,ZS-temp-selective,msp,0.01,0.7213629214269216,0.6,0.5852013144563527,0.0,1.0,0.41947565543071164,0.40472175379426645,0.5952782462057336,593,126,227,240,0,112
strawberry,vitb32,ZS-temp-selective,msp,0.01,0.7213629214269216,0.7,0.5175522651765042,0.006211180124223602,0.9937888198757764,0.5168539325842697,0.31703204047217537,0.6829679595278246,593,161,244,188,1,138
strawberry,vitb32,ZS-temp-selective,msp,0.01,0.7213629214269216,0.8,0.4751052802159162,0.009852216748768473,0.9901477832512315,0.6254681647940075,0.22934232715008432,0.7706576728499157,593,203,254,136,2,167
strawberry,vitb32,ZS-temp-selective,msp,0.01,0.7213629214269216,0.9,0.4203821741432838,0.008620689655172414,0.9913793103448276,0.7153558052434457,0.15345699831365936,0.8465430016863407,593,232,270,91,2,191
strawberry,vitb32,ZS-temp-selective,margin,0.01,0.7213629214269216,0.4,0.5521075687173549,0.0,1.0,0.19850187265917604,0.5986509274873525,0.4013490725126475,593,56,182,355,0,53
strawberry,vitb32,ZS-temp-selective,margin,0.01,0.7213629214269216,0.5,0.45574037490086305,0.0,1.0,0.31835205992509363,0.4991568296795953,0.5008431703204047,593,94,203,296,0,85
strawberry,vitb32,ZS-temp-selective,margin,0.01,0.7213629214269216,0.6,0.3363930979156792,0.0,1.0,0.4232209737827715,0.40640809443507586,0.5935919055649241,593,127,225,241,0,113
strawberry,vitb32,ZS-temp-selective,margin,0.01,0.7213629214269216,0.7,0.22312766718054905,0.0,1.0,0.5318352059925093,0.31703204047217537,0.6829679595278246,593,165,240,188,0,142
strawberry,vitb32,ZS-temp-selective,margin,0.01,0.7213629214269216,0.8,0.14757737924729902,0.005025125628140704,0.9949748743718593,0.6292134831460674,0.23440134907251264,0.7655986509274874,593,199,255,139,1,168
strawberry,vitb32,ZS-temp-selective,margin,0.01,0.7213629214269216,0.9,0.08495229341798766,0.008547008547008548,0.9914529914529915,0.7191011235955056,0.15345699831365936,0.8465430016863407,593,234,268,91,2,192
strawberry,vitb32,ZS-temp-selective,entropy,0.01,0.7213629214269216,0.4,0.7581387726549806,0.0,1.0,0.21348314606741572,0.5986509274873525,0.4013490725126475,593,60,178,355,0,57
strawberry,vitb32,ZS-temp-selective,entropy,0.01,0.7213629214269216,0.5,0.8506968794078962,0.0,1.0,0.3295880149812734,0.4991568296795953,0.5008431703204047,593,96,201,296,0,88
strawberry,vitb32,ZS-temp-selective,entropy,0.01,0.7213629214269216,0.6,0.9463555753753505,0.007874015748031496,0.9921259842519685,0.4157303370786517,0.40809443507588533,0.5919055649241147,593,127,224,242,1,111
strawberry,vitb32,ZS-temp-selective,entropy,0.01,0.7213629214269216,0.7,0.9994350249612602,0.012345679012345678,0.9876543209876543,0.5168539325842697,0.31703204047217537,0.6829679595278246,593,162,243,188,2,138
strawberry,vitb32,ZS-temp-selective,entropy,0.01,0.7213629214269216,0.8,1.0333282192755784,0.00980392156862745,0.9901960784313726,0.6292134831460674,0.22765598650927488,0.7723440134907251,593,204,254,135,2,168
strawberry,vitb32,ZS-temp-selective,entropy,0.01,0.7213629214269216,0.9,1.0689589496543181,0.008620689655172414,0.9913793103448276,0.7153558052434457,0.15682967959527824,0.8431703204047217,593,232,268,93,2,191
