sample_id,annotator_A,annotator_B
s0001,pick,pick
s0002,pick,pick
s0003,pick,pick
s0004,pick,pick
s0005,pick,pick
s0006,pick,pick
s0007,pick,pick
s0008,pick,pick
s0009,pick,pick
s0010,pick,pick
s0011,pick,pick
s0012,pick,pick
s0013,pick,pick
s0014,pick,pick
s0015,pick,pick
s0016,pick,pick
s0017,pick,pick
s0018,pick,pick
s0019,pick,pick
s0020,pick,pick
s0021,pick,pick
s0022,pick,pick
s0023,pick,pick
s0024,pick,pick
s0025,pick,pick
s0026,pick,pick
s0027,pick,pick
s0028,pick,pick
s0029,pick,pick
s0030,pick,pick
s0031,pick,pick
s0032,pick,pick
s0033,pick,pick
s0034,pick,pick
s0035,pick,pick
s0036,pick,pick
s0037,pick,pick
s0038,pick,pick
s0039,pick,pick
s0040,pick,pick
s0041,pick,pick
s0042,pick,pick
s0043,pick,pick
s0044,pick,pick
s0045,pick,pick
s0046,pick,pick
s0047,pick,pick
s0048,pick,pick
s0049,pick,pick
s0050,pick,pick
s0051,pick,pick
s0052,pick,pick
s0053,pick,pick
s0054,pick,pick
s0055,pick,pick
s0056,pick,pick
s0057,pick,pick
s0058,pick,pick
s0059,pick,pick
s0060,pick,pick
s0061,pick,pick
s0062,pick,pick
s0063,pick,pick
s0064,pick,pick
s0065,pick,pick
s0066,pick,pick
s0067,pick,pick
s0068,pick,pick
s0069,pick,pick
s0070,pick,pick
s0071,pick,pick
s0072,pick,pick
s0073,pick,revisit
s0074,pick,revisit
s0075,pick,revisit
s0076,pick,revisit
s0077,pick,revisit
s0078,pick,revisit
s0079,pick,revisit
s0080,pick,revisit
s0081,pick,revisit
s0082,pick,revisit
s0083,pick,revisit
s0084,pick,revisit
s0085,pick,revisit
s0086,pick,revisit
s0087,pick,revisit
s0088,pick,revisit
s0089,pick,revisit
s0090,pick,revisit
s0091,pick,revisit
s0092,pick,revisit
s0093,pick,revisit
s0094,pick,revisit
s0095,pick,revisit
s0096,pick,revisit
s0097,pick,revisit
s0098,pick,revisit
s0099,pick,revisit
s0100,pick,revisit
s0101,pick,revisit
s0102,pick,revisit
s0103,pick,revisit
s0104,revisit,pick
s0105,revisit,pick
s0106,revisit,pick
s0107,revisit,pick
s0108,revisit,pick
s0109,revisit,pick
s0110,revisit,pick
s0111,revisit,pick
s0112,revisit,pick
s0113,revisit,pick
s0114,revisit,pick
s0115,revisit,pick
s0116,revisit,pick
s0117,revisit,pick
s0118,revisit,pick
s0119,revisit,pick
s0120,revisit,revisit
s0121,revisit,revisit
s0122,revisit,revisit
s0123,revisit,revisit
s0124,revisit,revisit
s0125,revisit,revisit
s0126,revisit,revisit
s0127,revisit,revisit
s0128,revisit,revisit
s0129,revisit,revisit
s0130,revisit,revisit
s0131,revisit,revisit
s0132,revisit,revisit
s0133,revisit,revisit
s0134,revisit,revisit
s0135,revisit,revisit
s0136,revisit,revisit
s0137,revisit,revisit
s0138,revisit,wait
s0139,revisit,wait
s0140,revisit,wait
s0141,revisit,wait
s0142,revisit,wait
s0143,revisit,wait
s0144,revisit,wait
s0145,revisit,wait
s0146,revisit,wait
s0147,revisit,wait
s0148,revisit,wait
s0149,revisit,wait
s0150,revisit,wait
s0151,revisit,wait
s0152,revisit,wait
s0153,revisit,wait
s0154,revisit,wait
s0155,revisit,wait
s0156,revisit,wait
s0157,revisit,wait
s0158,revisit,wait
s0159,revisit,wait
s0160,revisit,wait
