k,C_fp,C_fw,C_rev,mean_cost,protocol_valid
16,1,0.500000,0.300000,0.100976,True
16,1,1.000000,0.300000,0.106128,False
16,1,2.000000,0.300000,0.116432,False
16,2,0.500000,0.300000,0.139239,True
16,2,1.000000,0.300000,0.144391,True
16,2,2.000000,0.300000,0.154695,False
16,5,0.500000,0.300000,0.254029,True
16,5,1.000000,0.300000,0.259180,True
16,5,2.000000,0.300000,0.269484,True
16,10,0.500000,0.300000,0.445344,True
16,10,1.000000,0.300000,0.450496,True
16,10,2.000000,0.300000,0.460799,True
16,20,0.500000,0.300000,0.827975,True
16,20,1.000000,0.300000,0.833126,True
16,20,2.000000,0.300000,0.843430,True
