defer,false_pick_rate,actual_coverage,pick_recall,variant
0.000000,0.103824,0.934907,0.914036,V1_E_512D_endpoint
0.050000,0.094559,0.908246,0.897357,V1_E_512D_endpoint
0.100000,0.084385,0.874823,0.876179,V1_E_512D_endpoint
0.150000,0.075789,0.838449,0.850571,V1_E_512D_endpoint
0.200000,0.067980,0.796661,0.819679,V1_E_512D_endpoint
0.250000,0.060628,0.749191,0.783000,V1_E_512D_endpoint
0.300000,0.053159,0.701248,0.741714,V1_E_512D_endpoint
0.350000,0.049013,0.650927,0.693643,V1_E_512D_endpoint
0.400000,0.042641,0.600337,0.646286,V1_E_512D_endpoint
0.450000,0.038089,0.551433,0.599786,V1_E_512D_endpoint
0.500000,0.033578,0.500843,0.550964,V1_E_512D_endpoint
0.550000,0.029412,0.450253,0.503250,V1_E_512D_endpoint
0.600000,0.027337,0.401349,0.453643,V1_E_512D_endpoint
0.000000,0.084381,0.758111,0.839786,B5family_argmax_margin
0.050000,0.077536,0.729022,0.818786,B5family_argmax_margin
0.100000,0.070810,0.699106,0.797179,B5family_argmax_margin
0.150000,0.064506,0.668550,0.774321,B5family_argmax_margin
0.200000,0.057983,0.635936,0.746750,B5family_argmax_margin
0.250000,0.050680,0.602580,0.717821,B5family_argmax_margin
0.300000,0.045675,0.570354,0.687250,B5family_argmax_margin
0.350000,0.039478,0.535295,0.651714,B5family_argmax_margin
0.400000,0.034200,0.498415,0.613214,B5family_argmax_margin
0.450000,0.030217,0.462732,0.574250,B5family_argmax_margin
0.500000,0.026501,0.424486,0.532643,B5family_argmax_margin
0.550000,0.022908,0.384823,0.485929,B5family_argmax_margin
0.600000,0.018612,0.345379,0.438786,B5family_argmax_margin
0.200000,0.058705,0.639241,0.749607,B5_calibrated_argmax_margin
