defer,false_pick_rate,actual_coverage,pick_recall,variant
0.000000,0.196703,0.937521,0.899750,V0_H_axis_endpoint
0.050000,0.190953,0.891551,0.854036,V0_H_axis_endpoint
0.100000,0.183570,0.844250,0.808179,V0_H_axis_endpoint
0.150000,0.177339,0.798971,0.763929,V0_H_axis_endpoint
0.200000,0.170757,0.751298,0.715607,V0_H_axis_endpoint
0.250000,0.162656,0.704519,0.669786,V0_H_axis_endpoint
0.300000,0.154099,0.659039,0.626179,V0_H_axis_endpoint
0.350000,0.145171,0.612411,0.580429,V0_H_axis_endpoint
0.400000,0.136340,0.565801,0.535500,V0_H_axis_endpoint
0.450000,0.132109,0.519933,0.486143,V0_H_axis_endpoint
0.500000,0.126402,0.472496,0.436643,V0_H_axis_endpoint
0.550000,0.122757,0.424907,0.387679,V0_H_axis_endpoint
0.600000,0.118931,0.379073,0.341571,V0_H_axis_endpoint
0.000000,0.140084,0.921619,0.825857,V1_E_512D_endpoint
0.050000,0.132040,0.895497,0.810179,V1_E_512D_endpoint
0.100000,0.122929,0.862192,0.788393,V1_E_512D_endpoint
0.150000,0.113654,0.824570,0.762036,V1_E_512D_endpoint
0.200000,0.103545,0.782378,0.727857,V1_E_512D_endpoint
0.250000,0.091588,0.737184,0.691107,V1_E_512D_endpoint
0.300000,0.080652,0.691906,0.652179,V1_E_512D_endpoint
0.350000,0.070402,0.643912,0.609750,V1_E_512D_endpoint
0.400000,0.059769,0.595396,0.566321,V1_E_512D_endpoint
0.450000,0.052969,0.547572,0.517214,V1_E_512D_endpoint
0.500000,0.044720,0.498196,0.466893,V1_E_512D_endpoint
0.550000,0.038319,0.448516,0.416786,V1_E_512D_endpoint
0.600000,0.034463,0.400202,0.368214,V1_E_512D_endpoint
0.000000,0.138112,0.729056,0.773821,B5family_argmax_margin
0.050000,0.130305,0.696779,0.751571,B5family_argmax_margin
0.100000,0.121557,0.663305,0.726786,B5family_argmax_margin
0.150000,0.114947,0.631180,0.702321,B5family_argmax_margin
0.200000,0.105530,0.597251,0.674750,B5family_argmax_margin
0.250000,0.096525,0.562277,0.644500,B5family_argmax_margin
0.300000,0.088624,0.528803,0.616286,B5family_argmax_margin
0.350000,0.080764,0.493828,0.582500,B5family_argmax_margin
0.400000,0.074539,0.458786,0.547179,B5family_argmax_margin
0.450000,0.067371,0.423693,0.510714,B5family_argmax_margin
0.500000,0.061291,0.387470,0.473143,B5family_argmax_margin
0.550000,0.054604,0.349713,0.431607,B5family_argmax_margin
0.600000,0.049276,0.313592,0.389321,B5family_argmax_margin
